"Scenario","Replicate","Generations","Length_of_benchmarking_reference","Distance_from_HXB2","Average_pairwise_diversity_of_quasispecies","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","L50","LG50","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","LA50","LGA50","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2","SIM_A1_lowcov_nocont","replicate1",1175,8648,1292,317.6578,"shiver_genome",1,1,1,0,0,0,8612,8612,8612,0,0,0,1,8612,8612,8648,"40.26",40.25,8612,8612,1,1,23624,14500,14500,121.99,121.94,121.22,121.19,499,498,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100.000","1.000",0,"23.22","92.89","8612","8612","8612","8612","1","1","SIM_A1_lowcov_nocont_replicate1_shiver_genome",23624,14500,14500,28818,121.99,28636,121.22,182,0.77,0,0,499,100,99.99,99.92,28823,121.94,28646,121.19,177,0.75,0,0,498,100,99.99,99.93,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","3","36",0,0,"0","0",0,28818,0,0,182,0,0.998078,0.987805,0.999274,0.997871,0.993506,478.45,14.74," 8;10.26",1343052,1042344," 100%"
"V2.1","SIM_A1_lowcov_nocont","replicate1",1175,8648,1292,317.6578,"smaltalign_genome",1,1,1,0,0,0,8612,8612,8612,0,0,0,1,8612,8612,8648,"40.25",40.25,8612,8612,1,1,23468,14500,14500,119.6,121.94,115.63,121.19,485,498,99.23,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.454","1.000",0,"385.29","175.13","8565","8565","8565","8565","1","1","SIM_A1_lowcov_nocont_replicate1_smaltalign_genome",23468,14500,14500,28068,119.6,27136,115.63,932,3.97,0,0,485,99.23,99.22,99.16,28823,121.94,28646,121.19,177,0.75,0,0,498,100,99.99,99.93,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","15","12","3","62",0,0,"0","0",0,28068,0,0,932,0,0.994981,0.986832,0.978955,0.997746,0.982878,105.12,3.18," 0;54.03",1420660,202440," 200%"
"V2.2","SIM_A1_lowcov_nocont","replicate1",1175,8648,1292,317.6578,"viralngs_genome",1,1,1,0,0,0,8621,8621,8621,0,0,0,1,8621,8621,8648,"40.22",40.25,8621,8621,1,1,23552,14500,14500,118.88,121.94,114.75,121.19,483,498,98.26,100,"0","0","0","0","0","1","0","0 + 0 part",0,"98.223","1.002",2424.31,"2585.29","70.83","8471","8471","8471","8471","1","1","SIM_A1_lowcov_nocont_replicate1_viralngs_genome",23552,14500,14500,27999,118.88,27026,114.75,973,4.13,0,0,483,98.26,98.26,98.23,28823,121.94,28646,121.19,177,0.75,0,0,498,100,99.99,99.93,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","219","6","4","2","24",0,0,"  0","  0",209,27999,0,0,1001,0,0.990602,0.98716,0.948476,0.997871,0.967432,76.75,5.33," 0;36.62",703884,231792," 224%"
"V2.3","SIM_A1_lowcov_nocont","replicate1",1175,8648,1292,317.6578,"vpipe_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8648,"-",40.25,8624,8624,1,1,29000,14500,14500,0,121.94,0,121.19,0,498,0,100,"-","-","-","-","-","-","-","1 + 0 part",8624,"-","-",1e+05,"-","-","-","-","-","-","-","-","SIM_A1_lowcov_nocont_replicate1_vpipe_genome",29000,14500,14500,0,0,0,0,0,0,0,0,0,0,0,0,28823,121.94,28646,121.19,177,0.75,0,0,498,100,99.99,99.93,"vpipe_genome","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8624,"-","-",8624,0,0,0,29000,0,0.852841,0,0,1,0,16.35,2.42," 0;27.47",452592,2197656," 68%"
"V21","SIM_A1_lowcov_nocont","replicate10",931,8669,1135,293.0525,"shiver_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8669,"40.63",40.64,8624,8624,1,1,24042,14500,14500,119.84,119.74,119.07,118.93,499,498,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"81.17","127.55","8624","8624","8624","8624","1","1","SIM_A1_lowcov_nocont_replicate10_shiver_genome",24042,14500,14500,28813,119.84,28626,119.07,187,0.78,0,0,499,100,99.98,99.94,28806,119.74,28612,118.93,194,0.81,0,0,498,100,99.98,99.94,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","7","4","45",0,0,"0","0",0,28806,0,0,187,7,0.997817,0.987013,1,0.997383,0.993464,743.42,17.44," 12;34.07",1346172,1321176," 100%"
"V2.11","SIM_A1_lowcov_nocont","replicate10",931,8669,1135,293.0525,"smaltalign_genome",1,1,1,0,0,0,8600,8600,8600,0,0,0,1,8600,8600,8669,"40.65",40.64,8600,8600,1,1,23955,14500,14500,119.08,119.74,117.09,118.93,495,498,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.455","0.998",0,"327.37","140.3","8553","8553","8553","8553","1","1","SIM_A1_lowcov_nocont_replicate10_smaltalign_genome",23955,14500,14500,28525,119.08,28050,117.09,475,1.98,0,0,495,100,99.98,99.94,28806,119.74,28612,118.93,194,0.81,0,0,498,100,99.98,99.94,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","12","6","6","69",0,0,"0","0",0,28518,0,0,475,7,0.995864,0.988211,0.986842,0.997659,0.987526,106.52,3.19," 0;56.54",1420636,203496," 194%"
"V2.21","SIM_A1_lowcov_nocont","replicate10",931,8669,1135,293.0525,"viralngs_genome",1,1,1,0,0,0,8621,8621,8621,0,0,0,1,8621,8621,8669,"40.62",40.64,8621,8621,1,1,24033,14500,14500,119.89,119.74,119.12,118.93,499,498,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.965","1",301.59,"1020.76","116","8621","8621","8621","8621","1","1","SIM_A1_lowcov_nocont_replicate10_viralngs_genome",24033,14500,14500,28814,119.89,28628,119.12,186,0.77,0,0,499,100,100,99.98,28806,119.74,28612,118.93,194,0.81,0,0,498,100,99.98,99.94,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","10","5","5","45",0,0,"0","0",26,28807,0,0,186,7,0.996094,0.987552,0.98892,0.997521,0.988235,80.42,5.18," 0;38.14",713188,233128," 224%"
"V2.31","SIM_A1_lowcov_nocont","replicate10",931,8669,1135,293.0525,"vpipe_genome",1,1,1,0,0,0,8650,8650,8650,0,0,0,1,8650,8650,8669,"40.94",40.64,8650,8650,1,1,23795,14500,14500,115.26,119.74,108.86,118.93,469,498,99.2,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1.003",0,"1271.68","543.35","8650","8650","8650","8650","1","1","SIM_A1_lowcov_nocont_replicate10_vpipe_genome",23795,14500,14500,27426,115.26,25904,108.86,1522,6.4,0,0,469,99.2,99.12,99.06,28806,119.74,28612,118.93,194,0.81,0,0,498,100,99.98,99.94,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","47","38","9","141",0,0,"0","0",0,27421,0,0,1574,5,0.984147,0.978038,0.925208,0.995868,0.95089,1161.32,170.44," 8;34.20",1183928,13943888," 258%"
"V22","SIM_A1_lowcov_nocont","replicate2",518,8666,1117,174.761,"shiver_genome",1,1,1,0,0,0,8636,8636,8636,0,0,0,1,8636,8636,8666,"40.85",40.82,8636,8636,1,1,23406,14500,14500,123.1,123.09,122.3,122.28,499,498,100,99.91,"0","0","0","0","0","0","0","0 + 0 part",0,"99.942","1.002",0,"11.59","81.1","8631","8631","8631","8631","1","1","SIM_A1_lowcov_nocont_replicate2_shiver_genome",23406,14500,14500,28813,123.1,28626,122.3,187,0.8,0,0,499,100,99.98,99.97,28812,123.09,28624,122.28,188,0.8,0,0,498,99.91,99.91,99.91,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","5","2","27",0,0,"0","0",0,28812,0,0,187,1,0.997702,0.983235,0.997,0.997793,0.99007,743.07,17.5," 12;32.34",1348128,1326656," 101%"
"V2.12","SIM_A1_lowcov_nocont","replicate2",518,8666,1117,174.761,"smaltalign_genome",1,1,1,0,0,0,8615,8615,8615,0,0,0,1,8615,8615,8666,"40.88",40.82,8615,8615,1,1,23264,14500,14500,120.37,123.09,116.08,122.28,484,498,99.23,99.91,"0","0","0","0","0","0","0","0 + 0 part",0,"98.04","0.999",0,"213.12","201.28","8446","8446","8446","8446","1","1","SIM_A1_lowcov_nocont_replicate2_smaltalign_genome",23264,14500,14500,28002,120.37,27004,116.08,998,4.29,0,0,484,99.23,99.21,99.2,28812,123.09,28624,122.28,188,0.8,0,0,498,99.91,99.91,99.91,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","17","12","5","80",0,0,"0","0",0,28001,0,0,998,1,0.993335,0.981595,0.96,0.997663,0.970677,96.54,3.24," 0;50.27",1420680,198584," 198%"
