"Scenario","Replicate","Generations","Length_of_benchmarking_reference","Distance_from_HXB2","Average_pairwise_diversity_of_quasispecies","ENV_diversity","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","L50","LG50","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","LA50","LGA50","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2","SIM_A1_highcov_cont","replicate1",186,8653,1088,71.13798,5.511111,"shiver_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8653,"40.81",40.81,8638,"8638",1,"1",350000,175000,175000,99.62,99.62,99.24,99.24,10080,10077,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","57.88","8638","8638","8638","8638","1","1","SIM_A1_highcov_cont_replicate1_shiver_genome",350000,175000,175000,348668,99.62,347336,99.24,1332,0.38,0,0,10080,100,100,100,348671,99.62,347342,99.24,1329,0.38,0,0,10077,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","15",0,0,"0","0",0,348667,0,0,1332,1,0.994817,0.95228,1,0.99422,0.975557,8971.92,221.05," 2;23;44",1344400,32524768," 106%"
"V2.1","SIM_A1_highcov_cont","replicate1",186,8653,1088,71.13798,5.511111,"smaltalign_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8653,"40.81",40.81,8638,"8638",1,"1",350000,175000,175000,99.62,99.62,99.24,99.24,10080,10077,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","57.88","8638","8638","8638","8638","1","1","SIM_A1_highcov_cont_replicate1_smaltalign_genome",350000,175000,175000,348670,99.62,347340,99.24,1330,0.38,0,0,10080,100,100,100,348671,99.62,347342,99.24,1329,0.38,0,0,10077,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","15",0,0,"0","0",0,348670,0,0,1330,0,0.994817,0.95228,1,0.99422,0.975557,1899.35,18.79," 11;06.49",1448252,2069400," 287%"
"V2.2","SIM_A1_highcov_cont","replicate1",186,8653,1088,71.13798,5.511111,"viralngs_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8653,"40.81",40.81,8638,"8638",1,"1",350000,175000,175000,99.62,99.62,99.24,99.24,10080,10077,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","57.88","8638","8638","8638","8638","1","1","SIM_A1_highcov_cont_replicate1_viralngs_genome",350000,175000,175000,348670,99.62,347340,99.24,1330,0.38,0,0,10080,100,100,100,348671,99.62,347342,99.24,1329,0.38,0,0,10077,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","15",0,0,"0","0",0,348670,0,0,1330,0,0.994817,0.95228,1,0.99422,0.975557,541.67,32.24," 5;25.39",1382352,3540968," 176%"
"V2.3","SIM_A1_highcov_cont","replicate1",186,8653,1088,71.13798,5.511111,"vpipe_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8653,"41.13",40.81,8638,"8638",1,"1",350000,175000,175000,96.15,99.62,92.54,99.24,9647,10077,99.39,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.687","1.003",0,"1149.69","313.55","8619","8619","8619","8619","1","1","SIM_A1_highcov_cont_replicate1_vpipe_genome",350000,175000,175000,336508,96.15,323886,92.54,12622,3.61,0,0,9647,99.39,99.36,99.33,348671,99.62,347342,99.24,1329,0.38,0,0,10077,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","27","20","7","115",0,0,"0","0",0,336508,0,0,13492,0,0.984568,0.891393,0.96882,0.986384,0.928495,1451.29,496.12," 11;12.66",1185132,13295200," 289%"
"V21","SIM_A1_highcov_cont","replicate10",1103,8668,1214,260.86869,21.00667,"shiver_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8668,"40.19",40.21,8638,"8638",1,"1",350000,175000,175000,99.59,99.59,99.19,99.19,10064,10054,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"11.57","92.59","8638","8638","8638","8638","1","1","SIM_A1_highcov_cont_replicate10_shiver_genome",350000,175000,175000,348577,99.59,347154,99.19,1423,0.41,0,0,10064,100,100,100,348577,99.59,347154,99.19,1423,0.41,0,0,10054,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","7","1","30",0,0,"0","0",0,348577,0,0,1423,0,0.995748,0.974432,0.999272,0.995087,0.986695,11929.66,210.01," 3;12;31",1344468,39066816," 105%"
"V2.11","SIM_A1_highcov_cont","replicate10",1103,8668,1214,260.86869,21.00667,"smaltalign_genome",1,1,1,0,0,0,8641,8641,8641,0,0,0,1,8641,8641,8668,"40.18",40.21,8641,"8641",1,"1",350000,175000,175000,99.56,99.59,99.12,99.19,10061,10054,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"219.91","81.02","8641","8641","8641","8641","1","1","SIM_A1_highcov_cont_replicate10_smaltalign_genome",350000,175000,175000,348463,99.56,346926,99.12,1537,0.44,0,0,10061,100,100,100,348577,99.59,347154,99.19,1423,0.41,0,0,10054,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","7","6","1","27",0,0,"0","0",0,348434,0,0,1537,29,0.995403,0.971691,1,0.994541,0.985642,2588.52,18.98," 17;31.20",1448120,2125176," 248%"
"V2.21","SIM_A1_highcov_cont","replicate10",1103,8668,1214,260.86869,21.00667,"viralngs_genome",1,1,1,0,0,0,8640,8640,8640,0,0,0,1,8640,8640,8668,"40.11",40.21,8640,"8640",1,"1",350000,175000,175000,96.12,99.59,92.24,99.19,9686,10054,97.57,100,"0","0","0","0","0","1","0","0 + 0 part",0,"97.558","1.025",2881.94,"427.1","83.05","8430","8430","8430","8430","1","1","SIM_A1_highcov_cont_replicate10_viralngs_genome",350000,175000,175000,336426,96.12,322852,92.24,13574,3.88,0,0,9686,97.57,97.57,97.57,348577,99.59,347154,99.19,1423,0.41,0,0,10054,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","36","7","6","1","27",0,0,"0","0",249,336426,0,0,13574,0,0.985404,0.979231,0.927167,0.996316,0.952488,490.72,30.76," 3;59.14",1380712,3472864," 218%"
"V2.31","SIM_A1_highcov_cont","replicate10",1103,8668,1214,260.86869,21.00667,"vpipe_genome",1,1,1,0,0,0,8650,8650,8650,0,0,0,1,8650,8650,8668,"40.65",40.21,8650,"8650",1,"1",350000,175000,175000,95.45,99.59,91.39,99.19,9560,10054,99.32,100,"0","0","0","1","0","0","0","0 + 0 part",0,"95.81","1.045",0,"277.84","241.6","8293","8293","8293","8293","1","1","SIM_A1_highcov_cont_replicate10_vpipe_genome",350000,175000,175000,334061,95.45,319880,91.39,14181,4.05,0,0,9560,99.32,99.27,99.27,348577,99.59,347154,99.19,1423,0.41,0,0,10054,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","23","20","14","6","110",0,0,"0","0",0,334061,0,0,15939,0,0.98345,0.936125,0.96067,0.987718,0.948239,1830.41,684.83," 13;34.20",1187500,13289272," 308%"
"V22","SIM_A1_highcov_cont","replicate11",86,8636,1086,35.43737,2.43798,"shiver_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8636,"40.82",40.82,8624,"8624",1,"1",79921,175000,175000,435.83,435.51,433.72,433.4,10087,10084,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","34.79","8624","8624","8624","8624","1","1","SIM_A1_highcov_cont_replicate11_shiver_genome",79921,175000,175000,348316,435.83,346632,433.72,1684,2.11,0,0,10087,100,100,100,348316,435.51,346632,433.4,1684,2.11,0,0,10084,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","12",0,0,"0","0",0,348316,0,0,1684,0,0.999769,0.996721,1,0.999752,0.998358,3837.01,77.28," 1;01;59",1370816,14503056," 105%"
"V2.12","SIM_A1_highcov_cont","replicate11",86,8636,1086,35.43737,2.43798,"smaltalign_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8636,"40.82",40.82,8624,"8624",1,"1",79921,175000,175000,435.83,435.51,433.72,433.4,10087,10084,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","34.79","8624","8624","8624","8624","1","1","SIM_A1_highcov_cont_replicate11_smaltalign_genome",79921,175000,175000,348316,435.83,346632,433.72,1684,2.11,0,0,10087,100,100,100,348316,435.51,346632,433.4,1684,2.11,0,0,10084,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","12",0,0,"0","0",0,348316,0,0,1684,0,0.999769,0.996721,1,0.999752,0.998358,1778.01,17.34," 10;06.93",1448580,2053176," 295%"
