"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2","NGS_Ode","SAMD00025479","shiver",530872,87793823,5302.74,48.88," 1;25;41",1351208,17701152," 104%"
"V21","NGS_Ode","SAMD00025479","smaltalign",530872,87793823,1919.08,17.41," 12;20.81",1427636,2123080," 261%"
"V22","NGS_Ode","SAMD00025479","viralngs",530872,87793823,1155.54,32.73," 5;58.66",1381776,7544488," 331%"
"V23","NGS_Ode","SAMD00025479","vpipe",530872,87793823,15841.28,1057.77," 1;15;53",1777752,17429104," 371%"
"V24","NGS_Ode","SAMD00025480","shiver",554716,89303240,8501.61,58.86," 2;17;17",1626708,21937608," 103%"
"V211","NGS_Ode","SAMD00025480","smaltalign",554716,89303240,2037.82,18.65," 12;35.25",1427560,2103992," 272%"
"V221","NGS_Ode","SAMD00025480","viralngs",554716,89303240,1226.25,35.1," 6;06.79",1400592,8160216," 343%"
"V231","NGS_Ode","SAMD00025480","vpipe",554716,89303240,16501.03,991.37," 1;18;00",2377024,17654976," 373%"
"V25","NGS_Ode","SAMD00025481","shiver",588026,94313827,5712.52,50.49," 1;32;26",1426596,17582304," 103%"
"V212","NGS_Ode","SAMD00025481","smaltalign",588026,94313827,1959.75,19.76," 12;34.71",1427676,2097648," 262%"
"V222","NGS_Ode","SAMD00025481","viralngs",588026,94313827,1229.5,35.31," 6;03.75",1432988,8189120," 347%"
"V232","NGS_Ode","SAMD00025481","vpipe",588026,94313827,18979.99,2284.97," 1;33;41",1194132,17739824," 378%"
"V26","NGS_Ode","SAMD00025482","shiver",504448,79473613,8061.58,62.27," 2;10;22",1409932,20168576," 103%"
"V213","NGS_Ode","SAMD00025482","smaltalign",504448,79473613,1604.76,15.46," 8;39.10",1428668,2044432," 312%"
"V223","NGS_Ode","SAMD00025482","viralngs",504448,79473613,638.76,25.75," 2;45.89",909988,5101128," 400%"
"V233","NGS_Ode","SAMD00025482","vpipe",504448,79473613,16371.52,1309.64," 1;19;03",1201488,17251472," 372%"
"V27","NGS_Ode","SAMD00025483","shiver",587226,94841848,13598.25,90.29," 3;38;24",1412100,35291992," 104%"
"V214","NGS_Ode","SAMD00025483","smaltalign",587226,94841848,2058.7,18.9," 12;25.22",1428008,2114800," 278%"
"V224","NGS_Ode","SAMD00025483","viralngs",587226,94841848,1622.64,39.65," 6;43.36",1355352,9331504," 412%"
"V234","NGS_Ode","SAMD00025483","vpipe",587226,94841848,13365.44,795.82," 1;03;45",1203848,17047616," 370%"
"V28","NGS_Ode","SAMD00025484","shiver",354376,58601551,4228.95,33.53," 1;08;14",1429284,11681768," 104%"
"V215","NGS_Ode","SAMD00025484","smaltalign",354376,58601551,2070.89,16.95," 13;38.48",1427416,2129392," 255%"
"V225","NGS_Ode","SAMD00025484","viralngs",354376,58601551,886.91,24.76," 4;04.72",1042332,4923776," 372%"
"V235","NGS_Ode","SAMD00025484","vpipe",354376,58601551,12767,1235.39," 1;03;16",3466340,15955272," 368%"
"V29","NGS_Ode","SAMD00025485","shiver",539274,87325768,6118.69,52.61," 1;39;01",1629292,18773128," 103%"
"V216","NGS_Ode","SAMD00025485","smaltalign",539274,87325768,2014.82,18.61," 11;53.02",1427332,2121616," 285%"
"V226","NGS_Ode","SAMD00025485","viralngs",539274,87325768,1213.29,34.08," 6;00.07",1431168,7671936," 346%"
"V236","NGS_Ode","SAMD00025485","vpipe",539274,87325768,16700.04,1090.65," 1;19;37",2575764,17602032," 372%"
"V210","NGS_Ode","SAMD00025486","shiver",643172,108680500,5036.22,43.27," 1;21;04",1438240,17687208," 104%"
"V217","NGS_Ode","SAMD00025486","smaltalign",643172,108680500,2287.3,20.2," 15;36.89",1427552,2210568," 246%"
"V227","NGS_Ode","SAMD00025486","viralngs",643172,108680500,2169.98,45.04," 8;20.07",1469152,10733352," 442%"
"V237","NGS_Ode","SAMD00025486","vpipe",643172,108680500,16999.22,1879.63," 1;23;34",1203620,17611720," 376%"
"V218","NGS_Ode","SAMD00025487","shiver",262976,40164837,0,0," 0;00.00",3128,0," 80%"
"V219","NGS_Ode","SAMD00025487","smaltalign",262976,40164837,0.01,0.01," 0;00.02",3780,0," 117%"
"V228","NGS_Ode","SAMD00025487","viralngs",262976,40164837,3.3,1.64," 0;03.55",91760,248," 139%"
"V238","NGS_Ode","SAMD00025487","vpipe",262976,40164837,0.27,0.01," 0;00.29",43224,240," 100%"
"V220","NGS_Ode","SAMD00025488","shiver",524824,68528605,3684.83,45.28," 59;26.12",1509180,13227216," 104%"
"V2110","NGS_Ode","SAMD00025488","smaltalign",524824,68528605,1341.13,12.13," 8;12.41",1427324,1734920," 274%"
"V229","NGS_Ode","SAMD00025488","viralngs",524824,68528605,855.49,26.94," 5;27.12",1250724,5489936," 269%"
"V239","NGS_Ode","SAMD00025488","vpipe",524824,68528605,15232.78,1281.52," 1;13;36",1198900,16852208," 373%"
"V230","NGS_Ode","SAMD00025489","shiver",306226,44610448,3003.39,32.08," 48;34.89",1399028,9346240," 104%"
"V2111","NGS_Ode","SAMD00025489","smaltalign",306226,44610448,1790.83,15.84," 11;28.68",1427392,1896872," 262%"
"V2210","NGS_Ode","SAMD00025489","viralngs",306226,44610448,569.62,19.27," 2;52.55",831668,3286768," 341%"
"V2310","NGS_Ode","SAMD00025489","vpipe",306226,44610448,12622.85,1170.9," 1;01;37",1193408,15490672," 373%"
"V240","NGS_Ode","SAMD00025490","shiver",509040,82291095,11057.11,80.27," 2;57;58",1714244,30438328," 104%"
"V2112","NGS_Ode","SAMD00025490","smaltalign",509040,82291095,1869.37,17.95," 10;40.44",1427544,2102568," 294%"
"V2211","NGS_Ode","SAMD00025490","viralngs",509040,82291095,1161.18,32.06," 6;52.52",1388188,7224680," 289%"
"V2311","NGS_Ode","SAMD00025490","vpipe",509040,82291095,15656.76,918.07," 1;14;01",1197600,17307688," 373%"
"V241","NGS_Ode","SAMD00025491","shiver",475630,80646284,8614.29,62.83," 2;18;38",1536896,23454720," 104%"
"V2113","NGS_Ode","SAMD00025491","smaltalign",475630,80646284,2180.08,19.66," 13;52.82",1428616,2202168," 264%"
"V2212","NGS_Ode","SAMD00025491","viralngs",475630,80646284,1585.08,36.59," 6;46.11",1428752,7740280," 399%"
"V2312","NGS_Ode","SAMD00025491","vpipe",475630,80646284,11962.31,637.72," 56;57.30",1203408,16533920," 368%"
"V242","NGS_Ode","SAMD00025492","shiver",453178,67070447,5399.65,43.1," 1;27;16",1399656,15265048," 103%"
"V2114","NGS_Ode","SAMD00025492","smaltalign",453178,67070447,1906.68,16.6," 12;21.12",1427764,1970456," 259%"
"V2213","NGS_Ode","SAMD00025492","viralngs",453178,67070447,884.23,27.97," 4;30.44",1316792,5237976," 337%"
"V2313","NGS_Ode","SAMD00025492","vpipe",453178,67070447,17372.7,2038.86," 1;25;26",1201520,16981680," 378%"
"V243","NGS_Ode","SAMD00025493","shiver",587762,91631486,8650.97,57.42," 2;19;07",1477124,23207496," 104%"
