Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	350000	350000	350000	350000
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
# mapped	348577	348463	336426	334061
Mapped (%)	99.59	99.56	96.12	95.45
# properly paired	347154	346926	322852	319880
Properly paired (%)	99.19	99.12	92.24	91.39
# singletons	1423	1537	13574	14181
Singletons (%)	0.41	0.44	3.88	4.05
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	10064	10061	9686	9560
Coverage >= 1x (%)	100.0	100.0	97.57	99.32
Coverage >= 5x (%)	100.0	100.0	97.57	99.27
Coverage >= 10x (%)	100.0	100.0	97.57	99.27
# reference mapped	348577	348577	348577	348577
Reference mapped (%)	99.59	99.59	99.59	99.59
# reference properly paired	347154	347154	347154	347154
Reference properly paired (%)	99.19	99.19	99.19	99.19
# reference singletons	1423	1423	1423	1423
Reference singletons (%)	0.41	0.41	0.41	0.41
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	10054	10054	10054	10054
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
