Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	350000	350000	350000	350000
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
# mapped	348674	348605	340685	334983
Mapped (%)	99.62	99.6	97.34	95.71
# properly paired	347348	347210	331370	321660
Properly paired (%)	99.24	99.2	94.68	91.9
# singletons	1326	1395	9315	13323
Singletons (%)	0.38	0.4	2.66	3.81
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	10073	10071	9803	9587
Coverage >= 1x (%)	100.0	100.0	100.0	99.35
Coverage >= 5x (%)	100.0	100.0	99.12	99.32
Coverage >= 10x (%)	100.0	100.0	99.12	99.27
# reference mapped	348674	348674	348674	348674
Reference mapped (%)	99.62	99.62	99.62	99.62
# reference properly paired	347348	347348	347348	347348
Reference properly paired (%)	99.24	99.24	99.24	99.24
# reference singletons	1326	1326	1326	1326
Reference singletons (%)	0.38	0.38	0.38	0.38
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	10048	10048	10048	10048
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
