Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8638	8638	8637	8645
Total length (>= 1000 bp)	8638	8638	8637	8645
Total length (>= 5000 bp)	8638	8638	8637	8645
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8638	8638	8637	8645
Total length	8638	8638	8637	8645
Reference length	8680	8680	8680	8680
GC (%)	40.77	40.76	40.71	41.15
Reference GC (%)	40.77	40.77	40.77	40.77
N50	8638	8638	8637	8645
NG50	8638	8638	8637	8645
N75	8638	8638	8637	8645
NG75	8638	8638	8637	8645
L50	1	1	1	1
LG50	1	1	1	1
L75	1	1	1	1
LG75	1	1	1	1
# total reads	350000	350000	350000	350000
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
Mapped (%)	99.62	99.62	99.62	95.62
Reference mapped (%)	99.62	99.62	99.62	99.62
Properly paired (%)	99.25	99.25	99.25	91.5
Reference properly paired (%)	99.25	99.25	99.25	99.25
Avg. coverage depth	10076	10076	10076	9595
Reference avg. coverage depth	10054	10054	10054	10054
Coverage >= 1x (%)	100.0	100.0	100.0	99.38
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	100.000	99.988	99.687
Duplication ratio	1.000	1.000	1.000	1.004
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	0.00	11.58	92.64	1103.37
# indels per 100 kbp	92.62	92.62	92.64	301.97
Largest alignment	8638	8638	8637	8625
Total aligned length	8638	8638	8637	8625
NA50	8638	8638	8637	8625
NGA50	8638	8638	8637	8625
NA75	8638	8638	8637	8625
NGA75	8638	8638	8637	8625
LA50	1	1	1	1
LGA50	1	1	1	1
LA75	1	1	1	1
LGA75	1	1	1	1
