Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17529	17529	13785	16630
Mapped (%)	99.6	99.6	78.32	94.49
# properly paired	17458	17458	11046	15770
Properly paired (%)	99.19	99.19	62.76	89.6
# singletons	71	71	2739	860
Singletons (%)	0.4	0.4	15.56	4.89
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	506	506	394	474
Coverage >= 1x (%)	100.0	100.0	86.23	99.24
Coverage >= 5x (%)	100.0	100.0	86.23	99.24
Coverage >= 10x (%)	99.91	99.91	86.23	99.14
# reference mapped	17529	17529	17529	17529
Reference mapped (%)	99.6	99.6	99.6	99.6
# reference properly paired	17458	17458	17458	17458
Reference properly paired (%)	99.19	99.19	99.19	99.19
# reference singletons	71	71	71	71
Reference singletons (%)	0.4	0.4	0.4	0.4
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	506	506	506	506
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	99.91	99.91	99.91	99.91
