Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17544	17522	17543	16676
Mapped (%)	99.68	99.56	99.68	94.75
# properly paired	17488	17444	17486	15832
Properly paired (%)	99.36	99.11	99.35	89.95
# singletons	56	78	57	844
Singletons (%)	0.32	0.44	0.32	4.8
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	506	506	507	476
Coverage >= 1x (%)	100.0	99.91	100.0	99.29
Coverage >= 5x (%)	99.97	99.87	100.0	99.26
Coverage >= 10x (%)	99.94	99.85	100.0	99.24
# reference mapped	17544	17544	17544	17544
Reference mapped (%)	99.68	99.68	99.68	99.68
# reference properly paired	17488	17488	17488	17488
Reference properly paired (%)	99.36	99.36	99.36	99.36
# reference singletons	56	56	56	56
Reference singletons (%)	0.32	0.32	0.32	0.32
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	506	506	506	506
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	99.97	99.97	99.97	99.97
Reference coverage >= 10x (%)	99.94	99.94	99.94	99.94
