Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# misassemblies	0	0	0	0
  # contig misassemblies	0	0	0	0
    # c. relocations	0	0	0	0
    # c. translocations	0	0	0	0
    # c. inversions	0	0	0	0
  # scaffold misassemblies	0	0	0	0
    # s. relocations	0	0	0	0
    # s. translocations	0	0	0	0
    # s. inversions	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	3
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	1	0
# unaligned mis. contigs	0	0	0	0
# mismatches	1	28	17	153
# indels	11	10	8	16
    # indels (<= 5 bp)	7	8	6	10
    # indels (> 5 bp)	4	2	2	6
Indels length	66	36	30	70
