Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	78009	78072	78009	82344
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
# mapped	348295	348188	348295	341402
Mapped (%)	446.48	445.98	446.48	414.6
# properly paired	346590	346376	346590	332804
Properly paired (%)	444.29	443.66	444.29	404.16
# singletons	1705	1812	1705	8598
Singletons (%)	2.19	2.32	2.19	10.44
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	10098	10096	10098	9822
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Coverage >= 5x (%)	100.0	100.0	100.0	99.93
Coverage >= 10x (%)	100.0	100.0	100.0	99.93
# reference mapped	348295	348295	348295	348295
Reference mapped (%)	446.16	446.16	446.16	446.16
# reference properly paired	346590	346590	346590	346590
Reference properly paired (%)	443.98	443.98	443.98	443.98
# reference singletons	1705	1705	1705	1705
Reference singletons (%)	2.18	2.18	2.18	2.18
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	10088	10088	10088	10088
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
