Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17524	17488	17524	16889
Mapped (%)	99.57	99.36	99.57	95.96
# properly paired	17448	17376	17448	16252
Properly paired (%)	99.14	98.73	99.14	92.34
# singletons	76	112	76	637
Singletons (%)	0.43	0.64	0.43	3.62
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	507	506	507	483
Coverage >= 1x (%)	100.0	99.92	100.0	99.92
Coverage >= 5x (%)	100.0	99.92	100.0	99.87
Coverage >= 10x (%)	100.0	99.92	100.0	99.87
# reference mapped	17524	17524	17524	17524
Reference mapped (%)	99.57	99.57	99.57	99.57
# reference properly paired	17448	17448	17448	17448
Reference properly paired (%)	99.14	99.14	99.14	99.14
# reference singletons	76	76	76	76
Reference singletons (%)	0.43	0.43	0.43	0.43
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	506	506	506	506
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
