Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8606	8611	7593	8614
Total length (>= 1000 bp)	8606	8611	7593	8614
Total length (>= 5000 bp)	8606	8611	7593	8614
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8606	8611	7593	8614
Total length	8606	8611	7593	8614
Reference length	8641	8641	8641	8641
GC (%)	40.34	40.43	40.01	40.78
Reference GC (%)	40.33	40.33	40.33	40.33
N50	8606	8611	7593	8614
NG50	8606	8611	7593	8614
N90	8606	8611	7593	8614
NG90	8606	8611	-	8614
auN	8606.0	8611.0	7593.0	8614.0
auNG	8571.1	8581.1	6672.1	8587.1
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	-	1
# total reads	15739	15735	15185	15599
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
Mapped (%)	111.27	111.17	80.92	105.08
Reference mapped (%)	111.24	111.24	111.24	111.24
Properly paired (%)	110.72	110.48	54.82	98.31
Reference properly paired (%)	110.69	110.69	110.69	110.69
Avg. coverage depth	506	506	393	467
Reference avg. coverage depth	506	506	506	506
Coverage >= 1x (%)	100.0	100.0	86.09	99.18
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	3	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	100.000	78.555	98.815
Duplication ratio	1.000	1.000	1.001	1.001
# N's per 100 kbp	0.00	0.00	14974.32	0.00
# mismatches per 100 kbp	0.00	394.84	2039.61	2302.63
# indels per 100 kbp	116.20	139.36	88.68	681.39
Largest alignment	8606	8611	6766	8512
Total aligned length	8606	8611	6766	8512
NA50	8606	8611	6766	8512
NGA50	8606	8611	6766	8512
NA90	8606	8611	-	8512
NGA90	8606	8611	-	8512
auNA	8606.0	8611.0	6029.1	8411.2
auNGA	8571.1	8581.1	5297.9	8384.9
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	-	1
LGA90	1	1	-	1
