Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	350000	350000	350000	350000
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
# mapped	348502	348502	348502	348502
Mapped (%)	99.57	99.57	99.57	99.57
# properly paired	347004	347004	347004	347004
Properly paired (%)	99.14	99.14	99.14	99.14
# singletons	1498	1498	1498	1498
Singletons (%)	0.43	0.43	0.43	0.43
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	10107	10107	10107	10105
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Coverage >= 5x (%)	100.0	100.0	100.0	100.0
Coverage >= 10x (%)	100.0	100.0	100.0	100.0
# reference mapped	348502	348502	348502	348502
Reference mapped (%)	99.57	99.57	99.57	99.57
# reference properly paired	347004	347004	347004	347004
Reference properly paired (%)	99.14	99.14	99.14	99.14
# reference singletons	1498	1498	1498	1498
Reference singletons (%)	0.43	0.43	0.43	0.43
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	10104	10104	10104	10104
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
