Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17512	17513	16928	17507
Mapped (%)	99.5	99.51	96.18	99.47
# properly paired	17424	17426	16256	17414
Properly paired (%)	99.0	99.01	92.36	98.94
# singletons	88	87	672	93
Singletons (%)	0.5	0.49	3.82	0.53
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	507	507	498	507
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Coverage >= 5x (%)	100.0	100.0	99.1	100.0
Coverage >= 10x (%)	100.0	100.0	99.1	100.0
# reference mapped	17512	17512	17512	17512
Reference mapped (%)	99.5	99.5	99.5	99.5
# reference properly paired	17424	17424	17424	17424
Reference properly paired (%)	99.0	99.0	99.0	99.0
# reference singletons	88	88	88	88
Reference singletons (%)	0.5	0.5	0.5	0.5
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	506	506	506	506
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
