Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	97293	94106	93312	102584
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
# mapped	338018	343659	345418	329240
Mapped (%)	347.42	365.18	370.18	320.95
# properly paired	326036	337318	340836	312552
Properly paired (%)	335.11	358.44	365.26	304.68
# singletons	11982	6341	4582	16688
Singletons (%)	12.32	6.74	4.91	16.27
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	9862	9962	10023	9450
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Coverage >= 5x (%)	100.0	100.0	100.0	100.0
Coverage >= 10x (%)	100.0	100.0	100.0	100.0
# reference mapped	345297	345297	345297	345297
Reference mapped (%)	368.0	368.0	368.0	368.0
# reference properly paired	340594	340594	340594	340594
Reference properly paired (%)	362.99	362.99	362.99	362.99
# reference singletons	4703	4703	4703	4703
Reference singletons (%)	5.01	5.01	5.01	5.01
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	10001	10001	10001	10001
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
