Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17343	17330	11170	15382
Mapped (%)	98.54	98.47	63.47	87.4
# properly paired	17086	17060	6578	13534
Properly paired (%)	97.08	96.93	37.38	76.9
# singletons	257	270	4592	1848
Singletons (%)	1.46	1.53	26.09	10.5
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	502	502	321	439
Coverage >= 1x (%)	100.0	99.99	75.81	99.04
Coverage >= 5x (%)	100.0	99.99	75.81	99.04
Coverage >= 10x (%)	100.0	99.99	75.81	99.04
# reference mapped	17342	17342	17342	17342
Reference mapped (%)	98.53	98.53	98.53	98.53
# reference properly paired	17084	17084	17084	17084
Reference properly paired (%)	97.07	97.07	97.07	97.07
# reference singletons	258	258	258	258
Reference singletons (%)	1.47	1.47	1.47	1.47
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	502	502	502	502
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
