Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17374	17295	14982	15531
Mapped (%)	98.72	98.27	85.12	88.24
# properly paired	17148	16990	12716	13772
Properly paired (%)	97.43	96.53	72.25	78.25
# singletons	226	305	2266	1759
Singletons (%)	1.28	1.73	12.88	9.99
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	503	500	428	443
Coverage >= 1x (%)	100.0	100.0	91.71	99.07
Coverage >= 5x (%)	100.0	100.0	91.71	98.56
Coverage >= 10x (%)	100.0	100.0	91.71	98.56
# reference mapped	17373	17373	17373	17373
Reference mapped (%)	98.71	98.71	98.71	98.71
# reference properly paired	17146	17146	17146	17146
Reference properly paired (%)	97.42	97.42	97.42	97.42
# reference singletons	227	227	227	227
Reference singletons (%)	1.29	1.29	1.29	1.29
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	502	502	502	502
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
