Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# misassemblies	0	0	0	0
  # contig misassemblies	0	0	0	0
    # c. relocations	0	0	0	0
    # c. translocations	0	0	0	0
    # c. inversions	0	0	0	0
  # scaffold misassemblies	0	0	0	0
    # s. relocations	0	0	0	0
    # s. translocations	0	0	0	0
    # s. inversions	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	7	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	5	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	1
# mismatches	0	1	8	17
# indels	5	1	2	4
    # indels (<= 5 bp)	1	0	1	4
    # indels (> 5 bp)	4	1	1	0
Indels length	156	6	9	6
