Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	0	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8685	8638	4349	8627
Total length (>= 1000 bp)	8685	8638	4349	8627
Total length (>= 5000 bp)	8685	8638	0	8627
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8685	8638	4349	8627
Total length	8685	8638	4349	8627
Reference length	8710	8710	8710	8710
GC (%)	40.59	41.20	39.73	41.31
Reference GC (%)	40.61	40.61	40.61	40.61
N50	8685	8638	4349	8627
NG50	8685	8638	-	8627
N90	8685	8638	4349	8627
NG90	8685	8638	-	8627
auN	8685.0	8638.0	4349.0	8627.0
auNG	8660.1	8566.6	2171.5	8544.8
L50	1	1	1	1
LG50	1	1	-	1
L90	1	1	1	1
LG90	1	1	-	1
# total reads	115818	220924	279073	328846
# left	190000	190000	190000	190000
# right	190000	190000	190000	190000
Mapped (%)	308.6	89.89	44.3	18.62
Reference mapped (%)	307.96	307.96	307.96	307.96
Properly paired (%)	294.7	66.05	31.29	8.11
Reference properly paired (%)	294.09	294.09	294.09	294.09
Avg. coverage depth	10247	5596	6816	1686
Reference avg. coverage depth	10241	10241	10241	10241
Coverage >= 1x (%)	100.0	65.64	79.86	57.46
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	6	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	2	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	1
# unaligned contigs	0 + 0 part	0 + 1 part	0 + 0 part	0 + 1 part
Unaligned length	0	3066	0	7574
Genome fraction (%)	100.000	64.130	41.981	12.095
Duplication ratio	1.001	1.002	1.002	1.004
# N's per 100 kbp	0.00	0.00	21522.19	0.00
# mismatches per 100 kbp	23.03	771.72	1206.47	1899.34
# indels per 100 kbp	80.60	89.73	82.26	474.83
Largest alignment	8685	5572	3647	861
Total aligned length	8685	5572	3647	1053
NA50	8685	5572	3647	-
NGA50	8685	5572	-	-
NA90	8685	-	-	-
NGA90	8685	-	-	-
auNA	8685.0	3594.3	3058.3	90.2
auNGA	8660.1	3564.5	1527.1	89.3
LA50	1	1	1	-
LGA50	1	1	-	-
LA90	1	-	-	-
LGA90	1	-	-	-
