Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	109576	109565	109503	109637
# left	190000	190000	190000	190000
# right	190000	190000	190000	190000
# mapped	357589	357612	357773	357612
Mapped (%)	326.34	326.39	326.72	326.18
# properly paired	341474	341520	341930	341520
Properly paired (%)	311.63	311.71	312.26	311.5
# singletons	16115	16092	15843	16092
Singletons (%)	14.71	14.69	14.47	14.68
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	10263	10264	10243	10263
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Coverage >= 5x (%)	100.0	100.0	100.0	100.0
Coverage >= 10x (%)	100.0	100.0	100.0	100.0
# reference mapped	357612	357612	357612	357612
Reference mapped (%)	325.61	325.61	325.61	325.61
# reference properly paired	341520	341520	341520	341520
Reference properly paired (%)	310.96	310.96	310.96	310.96
# reference singletons	16092	16092	16092	16092
Reference singletons (%)	14.65	14.65	14.65	14.65
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	10257	10257	10257	10257
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
