Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# misassemblies	0	0	0	0
  # contig misassemblies	0	0	0	0
    # c. relocations	0	0	0	0
    # c. translocations	0	0	0	0
    # c. inversions	0	0	0	0
  # scaffold misassemblies	0	0	0	0
    # s. relocations	0	0	0	0
    # s. translocations	0	0	0	0
    # s. inversions	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	7	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# mismatches	0	9	28	26
# indels	6	4	2	3
    # indels (<= 5 bp)	5	3	1	2
    # indels (> 5 bp)	1	1	1	1
Indels length	17	15	9	12
