Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8739	8724	8499	8728
Total length (>= 1000 bp)	8739	8724	8499	8728
Total length (>= 5000 bp)	8739	8724	8499	8728
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8739	8724	8499	8728
Total length	8739	8724	8499	8728
Reference length	8746	8746	8746	8746
GC (%)	40.50	40.47	40.35	40.34
Reference GC (%)	40.48	40.48	40.48	40.48
N50	8739	8724	8499	8728
NG50	8739	8724	8499	8728
N90	8739	8724	8499	8728
NG90	8739	8724	8499	8728
auN	8739.0	8724.0	8499.0	8728.0
auNG	8732.0	8702.1	8259.0	8710.0
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	16767	16768	16524	16771
# left	9500	9500	9500	9500
# right	9500	9500	9500	9500
Mapped (%)	107.0	107.07	82.96	107.05
Reference mapped (%)	107.05	107.05	107.05	107.05
Properly paired (%)	102.49	102.62	63.36	102.63
Reference properly paired (%)	102.62	102.62	102.62	102.62
Avg. coverage depth	511	512	393	512
Reference avg. coverage depth	512	512	512	512
Coverage >= 1x (%)	100.0	100.0	85.32	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	5	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	99.989	99.989	84.096	99.989
Duplication ratio	1.002	1.000	1.000	1.000
# N's per 100 kbp	0.00	0.00	15001.76	0.00
# mismatches per 100 kbp	263.19	183.40	1676.43	939.94
# indels per 100 kbp	91.54	80.24	95.41	80.24
Largest alignment	8739	8724	7337	8724
Total aligned length	8739	8724	7337	8724
NA50	8739	8724	7337	8724
NGA50	8739	8724	7337	8724
NA90	8739	8724	-	8724
NGA90	8739	8724	-	8724
auNA	8739.0	8724.0	6333.9	8720.0
auNGA	8732.0	8702.1	6155.0	8702.1
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	-	1
LGA90	1	1	-	1
