Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8624	8624	8624	8635
Total length (>= 1000 bp)	8624	8624	8624	8635
Total length (>= 5000 bp)	8624	8624	8624	8635
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8624	8624	8624	8635
Total length	8624	8624	8624	8635
Reference length	8636	8636	8636	8636
GC (%)	40.82	40.82	40.82	41.13
Reference GC (%)	40.82	40.82	40.82	40.82
N50	8624	8624	8624	8635
NG50	8624	8624	8624	8635
N90	8624	8624	8624	8635
NG90	8624	8624	8624	8635
auN	8624.0	8624.0	8624.0	8635.0
auNG	8612.0	8612.0	8612.0	8634.0
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	79921	79921	79921	87152
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
Mapped (%)	435.83	435.83	435.83	386.48
Reference mapped (%)	435.51	435.51	435.51	435.51
Properly paired (%)	433.72	433.72	433.72	371.84
Reference properly paired (%)	433.4	433.4	433.4	433.4
Avg. coverage depth	10087	10087	10087	9660
Reference avg. coverage depth	10084	10084	10084	10084
Coverage >= 1x (%)	100.0	100.0	100.0	99.32
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	100.000	100.000	99.849
Duplication ratio	1.000	1.000	1.000	1.001
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	0.00	0.00	0.00	1032.24
# indels per 100 kbp	34.79	34.79	34.79	382.74
Largest alignment	8624	8624	8624	8622
Total aligned length	8624	8624	8624	8622
NA50	8624	8624	8624	8622
NGA50	8624	8624	8624	8622
NA90	8624	8624	8624	8622
NGA90	8624	8624	8624	8622
auNA	8624.0	8624.0	8624.0	8609.0
auNGA	8612.0	8612.0	8612.0	8608.0
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
