S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
20	1527	1	1499	EMBOSS_001	None	97.47		True
fake: scaffold gap size wrong estimation (local)
1809	8505	1781	8465	EMBOSS_001	None	98.27		True
CONTIG	None	8468	correct
