Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	0	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8667	8638	3620	8624
Total length (>= 1000 bp)	8667	8638	3620	8624
Total length (>= 5000 bp)	8667	8638	0	8624
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8667	8638	3620	8624
Total length	8667	8638	3620	8624
Reference length	8707	8707	8707	8707
GC (%)	40.31	41.10	39.68	41.28
Reference GC (%)	40.41	40.41	40.41	40.41
N50	8667	8638	3620	8624
NG50	8667	8638	-	8624
N90	8667	8638	3620	8624
NG90	8667	8638	-	8624
auN	8667.0	8638.0	3620.0	8624.0
auNG	8627.2	8569.5	1505.0	8541.8
L50	1	1	1	1
LG50	1	1	-	1
L90	1	1	1	1
LG90	1	1	-	1
# total reads	110078	224138	268589	325485
# left	190000	190000	190000	190000
# right	190000	190000	190000	190000
Mapped (%)	325.12	86.17	51.6	19.72
Reference mapped (%)	324.48	324.48	324.48	324.48
Properly paired (%)	311.03	63.17	41.13	8.38
Reference properly paired (%)	310.38	310.38	310.38	310.38
Avg. coverage depth	10259	5469	9388	1768
Reference avg. coverage depth	10258	10258	10258	10258
Coverage >= 1x (%)	100.0	60.55	97.15	56.54
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	5	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	1	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	1
# unaligned contigs	0 + 0 part	0 + 1 part	0 + 0 part	0 + 1 part
Unaligned length	0	3290	0	7567
Genome fraction (%)	100.000	61.570	40.332	12.187
Duplication ratio	0.999	1.001	1.001	1.000
# N's per 100 kbp	0.00	0.00	4613.26	0.00
# mismatches per 100 kbp	357.68	729.24	2083.93	2459.79
# indels per 100 kbp	126.92	93.49	57.09	378.43
Largest alignment	8667	5348	3503	851
Total aligned length	8667	5348	3503	1057
NA50	8667	5348	3503	-
NGA50	8667	5348	-	-
NA90	8667	-	3503	-
NGA90	8667	-	-	-
auNA	8667.0	3311.1	3389.8	88.9
auNGA	8627.2	3284.8	1409.3	88.0
LA50	1	1	1	-
LGA50	1	1	-	-
LA90	1	-	1	-
LGA90	1	-	-	-
