"Dataset","Sample","Length_of_benchmarking_reference","Distance_from_HXB2","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","N90","NG90","auN","auNG","L50","LG50","L90","LG90","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","structural_variations","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","NA90","NGA90","auNA","auNGA","LA50","LGA50","LA90","LGA90","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","structural_variations.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2","SSNGS_HUN_INT","SSNGS_1.2017_INT",1195,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.16,39.21,1195,1195,1195,1195,1195,1195,1,1,1,1,682724,354185,354185,8.6,8.6,6.41,6.41,6640,6640,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.003,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_1.2017_INT_shiver_genome",682724,354185,354185,58731,8.6,43766,6.41,8157,1.19,0,0,6640,100,100,100,58709,8.6,43768,6.41,8125,1.19,0,0,6640,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58663,0,0,649639,68,0.993305,0.996094,0.988372,0.997054,0.992218,2014.71,30.81," 32;19.94",1698240,9786880," 105%"
"V2.1","SSNGS_HUN_INT","SSNGS_1.2017_INT",1195,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.16,39.21,1195,1195,1195,1195,1195,1195,1,1,1,1,682732,354185,354185,8.6,8.6,6.41,6.41,6640,6640,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.003,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_1.2017_INT_smaltalign_genome",682732,354185,354185,58725,8.6,43750,6.41,8161,1.2,0,0,6640,100,100,100,58709,8.6,43768,6.41,8125,1.19,0,0,6640,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58650,0,0,649645,75,0.996653,0.996124,0.996124,0.997054,0.996124,858.89,7.25," 5;26.64",1425672,1335616," 265%"
"V2.2","SSNGS_HUN_INT","SSNGS_1.2017_INT",1195,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.25,39.21,1195,1195,1195,1195,1195,1195,1,1,1,1,682733,354185,354185,8.6,8.6,6.41,6.41,6641,6640,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.003,0,0,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_1.2017_INT_viralngs_genome",682733,354185,354185,58730,8.6,43760,6.41,8158,1.19,0,0,6641,100,100,100,58709,8.6,43768,6.41,8125,1.19,0,0,6640,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58655,0,0,649640,75,0.994979,0.996109,0.992248,0.997054,0.994175,979.97,28.05," 7;07.42",1325420,6973896," 235%"
"V2.3","SSNGS_HUN_INT","SSNGS_1.2017_INT",1195,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1195,39.08,39.21,1195,1195,1195,1195,1195,1195,1,1,1,1,682730,354185,354185,8.6,8.6,6.41,6.41,6638,6640,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.003,0,167.36,0,1195,1195,"1195","1195","1195","1195",1195,1195,"1","1","1","1","SSNGS_HUN_INT_SSNGS_1.2017_INT_vpipe_genome",682730,354185,354185,58726,8.6,43756,6.41,8162,1.2,0,0,6638,100,100,100,58709,8.6,43768,6.41,8125,1.19,0,0,6640,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,58656,0,0,649644,70,0.994979,1,0.988372,1,0.994152,38056.6,8941.33," 3;25;38",1188668,18756104," 380%"
"V21","SSNGS_HUN_INT","SSNGS_102.2019.1_INT",998,NA,"shiver_genome",1,1,0,0,0,0,1166,1166,0,0,0,0,1,1166,1166,998,39.62,38.97,1166,1166,1166,1166,1166,1362.3,1,1,1,1,450883,235392,235392,11.74,9.61,9.01,7.21,6197,5972,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,0.981,0,103.2,103.2,969,969,"969","969","-","969",805.3,940.8,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.1_INT_shiver_genome",450883,235392,235392,52947,11.74,40634,9.01,6165,1.37,0,0,6197,100,100,100,43624,9.61,32714,7.21,5548,1.22,0,0,5972,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,29,0,0,0,0,0,40064,0,0,417837,12883,0.866946,0.734513,0.894879,0.854369,0.806804,1396.22,23.41," 22;45.77",1401236,6358048," 103%"
"V2.11","SSNGS_HUN_INT","SSNGS_102.2019.1_INT",998,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,998,39.41,38.97,1195,1195,1195,1195,1195,1430.9,1,1,1,1,450630,235392,235392,12.41,9.61,9.89,7.21,6418,5972,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,100.2,0,998,998,"998","998","-","998",833.5,998,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.1_INT_smaltalign_genome",450630,235392,235392,55907,12.41,44576,9.89,4865,1.08,0,0,6418,100,100,100,43624,9.61,32714,7.21,5548,1.22,0,0,5972,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43621,0,0,414877,12286,0.88954,0.746392,0.975741,0.850728,0.845794,826.88,6.88," 5;09.20",1425740,1344616," 269%"
"V2.21","SSNGS_HUN_INT","SSNGS_102.2019.1_INT",998,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,998,39.33,38.97,1195,1195,1195,1195,1195,1430.9,1,1,1,1,450626,235392,235392,12.41,9.61,9.89,7.21,6417,5972,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,0,0,998,998,"998","998","-","998",833.5,998,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.1_INT_viralngs_genome",450626,235392,235392,55903,12.41,44570,9.89,4863,1.08,0,0,6417,100,100,100,43624,9.61,32714,7.21,5548,1.22,0,0,5972,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43621,0,0,414881,12282,0.892887,0.750515,0.981132,0.853155,0.850467,662.32,20.57," 4;39.28",1224644,4753000," 244%"
"V2.31","SSNGS_HUN_INT","SSNGS_102.2019.1_INT",998,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,998,39.33,38.97,1195,1195,1195,1195,1195,1430.9,1,1,1,1,450627,235392,235392,12.41,9.61,9.89,7.21,6413,5972,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,601.2,0,998,998,"998","998","-","998",833.5,998,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.1_INT_vpipe_genome",450627,235392,235392,55906,12.41,44570,9.89,4870,1.08,0,0,6413,100,100,100,43624,9.61,32714,7.21,5548,1.22,0,0,5972,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,43620,0,0,414878,12286,0.888703,0.744856,0.975741,0.849515,0.844807,28924.65,5973.85," 2;32;57",1183408,17370528," 380%"
"V22","SSNGS_HUN_INT","SSNGS_102.2019.2_INT",998,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,998,39,38.97,1195,1195,1195,1195,1195,1430.9,1,1,1,1,726148,383123,383123,11.73,8.26,8.77,5.3,10274,8683,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,300.6,0,998,998,"998","998","-","998",833.5,998,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.2_INT_shiver_genome",726148,383123,383123,85198,11.73,63698,8.77,19248,2.65,0,0,10274,100,100,100,60596,8.26,38922,5.3,19804,2.7,0,0,8683,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,60591,0,0,681048,24607,0.868619,0.717391,0.962865,0.825183,0.822197,1917.07,29.95," 30;50.91",1398192,10887400," 105%"
"V2.12","SSNGS_HUN_INT","SSNGS_102.2019.2_INT",998,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,998,39,38.97,1195,1195,1195,1195,1195,1430.9,1,1,1,1,726147,383123,383123,11.73,8.26,8.77,5.3,10274,8683,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,300.6,0,998,998,"998","998","-","998",833.5,998,"1","1","-","1","SSNGS_HUN_INT_SSNGS_102.2019.2_INT_smaltalign_genome",726147,383123,383123,85199,11.73,63700,8.77,19247,2.65,0,0,10274,100,100,100,60596,8.26,38922,5.3,19804,2.7,0,0,8683,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,60589,0,0,681047,24610,0.870293,0.720238,0.962865,0.827628,0.824064,942.7,7.15," 6;29.84",1426156,1406256," 243%"
