Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8605	8605	8608	8614
Total length (>= 1000 bp)	8605	8605	8608	8614
Total length (>= 5000 bp)	8605	8605	8608	8614
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8605	8605	8608	8614
Total length	8605	8605	8608	8614
Reference length	8635	8635	8635	8635
GC (%)	40.57	40.57	40.53	40.62
Reference GC (%)	40.57	40.57	40.57	40.57
N50	8605	8605	8608	8614
NG50	8605	8605	8608	8614
N90	8605	8605	8608	8614
NG90	8605	8605	8608	8614
auN	8605.0	8605.0	8608.0	8614.0
auNG	8575.1	8575.1	8581.1	8593.1
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	87059	87059	87110	87187
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
Mapped (%)	400.21	400.2	399.96	399.62
Reference mapped (%)	398.82	398.82	398.82	398.82
Properly paired (%)	398.39	398.37	398.14	397.8
Reference properly paired (%)	397.01	397.01	397.01	397.01
Avg. coverage depth	10101	10101	10100	10099
Reference avg. coverage depth	10095	10095	10095	10095
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	100.000	100.000	100.000
Duplication ratio	1.000	1.000	1.000	1.001
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	0.00	23.24	127.79	69.65
# indels per 100 kbp	116.21	116.21	104.55	81.26
Largest alignment	8605	8605	8608	8614
Total aligned length	8605	8605	8608	8614
NA50	8605	8605	8608	8614
NGA50	8605	8605	8608	8614
NA90	8605	8605	8608	8614
NGA90	8605	8605	8608	8614
auNA	8605.0	8605.0	8608.0	8614.0
auNGA	8575.1	8575.1	8581.1	8593.1
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
