Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8638	8638	8612	8642
Total length (>= 1000 bp)	8638	8638	8612	8642
Total length (>= 5000 bp)	8638	8638	8612	8642
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8638	8638	8612	8642
Total length	8638	8638	8612	8642
Reference length	8653	8653	8653	8653
GC (%)	40.76	40.81	40.68	41.01
Reference GC (%)	40.78	40.78	40.78	40.78
N50	8638	8638	8612	8642
NG50	8638	8638	8612	8642
N75	8638	8638	8612	8642
NG75	8638	8638	8612	8642
L50	1	1	1	1
LG50	1	1	1	1
L75	1	1	1	1
LG75	1	1	1	1
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
Mapped (%)	99.61	99.36	99.63	94.56
Reference mapped (%)	99.61	99.61	99.61	99.61
Properly paired (%)	99.23	98.73	99.26	89.72
Reference properly paired (%)	99.23	99.23	99.23	99.23
Avg. coverage depth	506	505	508	475
Reference avg. coverage depth	506	506	506	506
Coverage >= 1x (%)	100.0	99.91	100.0	99.24
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	1
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	99.687	99.653	94.095
Duplication ratio	1.000	1.003	1.001	1.063
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	81.05	348.43	185.90	2805.46
# indels per 100 kbp	57.89	58.07	58.09	221.48
Largest alignment	8638	8611	8608	8119
Total aligned length	8638	8611	8608	8119
NA50	8638	8611	8608	8119
NGA50	8638	8611	8608	8119
NA75	8638	8611	8608	8119
NGA75	8638	8611	8608	8119
LA50	1	1	1	1
LGA50	1	1	1	1
LA75	1	1	1	1
LGA75	1	1	1	1
