Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	350000	350000	350000	350000
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
# mapped	348434	348432	330543	348434
Mapped (%)	99.55	99.55	94.44	99.55
# properly paired	346868	346864	311086	346868
Properly paired (%)	99.11	99.1	88.88	99.11
# singletons	1566	1568	19457	1566
Singletons (%)	0.45	0.45	5.56	0.45
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	10096	10096	9601	10096
Coverage >= 1x (%)	100.0	100.0	96.84	100.0
Coverage >= 5x (%)	100.0	100.0	96.84	100.0
Coverage >= 10x (%)	100.0	100.0	96.84	100.0
# reference mapped	348434	348434	348434	348434
Reference mapped (%)	99.55	99.55	99.55	99.55
# reference properly paired	346868	346868	346868	346868
Reference properly paired (%)	99.11	99.11	99.11	99.11
# reference singletons	1566	1566	1566	1566
Reference singletons (%)	0.45	0.45	0.45	0.45
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	10089	10089	10089	10089
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
