Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8686	8638	7169	8624
Total length (>= 1000 bp)	8686	8638	7169	8624
Total length (>= 5000 bp)	8686	8638	7169	8624
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8686	8638	7169	8624
Total length	8686	8638	7169	8624
Reference length	8704	8704	8704	8704
GC (%)	40.70	41.33	41.05	41.29
Reference GC (%)	40.70	40.70	40.70	40.70
N50	8686	8638	7169	8624
NG50	8686	8638	7169	8624
N90	8686	8638	7169	8624
NG90	8686	8638	-	8624
auN	8686.0	8638.0	7169.0	8624.0
auNG	8668.0	8572.5	5904.7	8544.7
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	-	1
# total reads	16662	17035	17150	18000
# left	9500	9500	9500	9500
# right	9500	9500	9500	9500
Mapped (%)	107.38	59.27	59.71	21.27
Reference mapped (%)	107.36	107.36	107.36	107.36
Properly paired (%)	102.76	43.3	47.32	9.29
Reference properly paired (%)	102.73	102.73	102.73	102.73
Avg. coverage depth	513	284	352	105
Reference avg. coverage depth	513	513	513	513
Coverage >= 1x (%)	100.0	63.14	71.74	56.6
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	7	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	3	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	1
# unaligned contigs	0 + 0 part	0 + 1 part	0 + 0 part	0 + 1 part
Unaligned length	0	2860	0	7682
Genome fraction (%)	100.000	66.521	60.776	10.845
Duplication ratio	1.000	1.000	1.000	1.000
# N's per 100 kbp	0.00	0.00	26363.51	0.00
# mismatches per 100 kbp	0.00	0.00	18.94	1804.67
# indels per 100 kbp	23.03	34.61	37.89	530.79
Largest alignment	8686	5778	5279	733
Total aligned length	8686	5778	5279	942
NA50	8686	5778	5279	-
NGA50	8686	5778	5279	-
NA90	8686	-	-	-
NGA90	8686	-	-	-
auNA	8686.0	3864.9	3887.3	67.4
auNGA	8668.0	3835.6	3201.7	66.7
LA50	1	1	1	-
LGA50	1	1	1	-
LA90	1	-	-	-
LGA90	1	-	-	-
