Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8500	8580	8601	8605
Total length (>= 1000 bp)	8500	8580	8601	8605
Total length (>= 5000 bp)	8500	8580	8601	8605
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8500	8580	8601	8605
Total length	8500	8580	8601	8605
Reference length	8628	8628	8628	8628
GC (%)	-	40.35	40.37	40.86
Reference GC (%)	40.40	40.40	40.40	40.40
N50	8500	8580	8601	8605
NG50	8500	8580	8601	8605
N75	8500	8580	8601	8605
NG75	8500	8580	8601	8605
L50	1	1	1	1
LG50	1	1	1	1
L75	1	1	1	1
LG75	1	1	1	1
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
Mapped (%)	0.0	98.26	98.65	91.22
Reference mapped (%)	98.65	98.65	98.65	98.65
Properly paired (%)	0.0	96.52	97.3	83.68
Reference properly paired (%)	97.3	97.3	97.3	97.3
Avg. coverage depth	0	501	503	458
Reference avg. coverage depth	503	503	503	503
Coverage >= 1x (%)	0.0	100.0	100.0	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	-	0	0	0
# misassembled contigs	-	0	0	0
Misassembled contigs length	-	0	0	0
# local misassemblies	-	0	0	0
# scaffold gap ext. mis.	-	0	0	0
# scaffold gap loc. mis.	-	0	0	0
# unaligned mis. contigs	-	0	0	0
# unaligned contigs	1 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	8500	0	0	0
Genome fraction (%)	-	100.000	100.000	97.942
Duplication ratio	-	0.998	1.000	1.022
# N's per 100 kbp	100000.00	0.00	11.63	0.00
# mismatches per 100 kbp	-	69.78	127.92	1876.04
# indels per 100 kbp	-	81.40	69.78	403.70
Largest alignment	-	8580	8601	8430
Total aligned length	-	8580	8601	8430
NA50	-	8580	8601	8430
NGA50	-	8580	8601	8430
NA75	-	8580	8601	8430
NGA75	-	8580	8601	8430
LA50	-	1	1	1
LGA50	-	1	1	1
LA75	-	1	1	1
LGA75	-	1	1	1
