Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8687	8692	8680	8692
Total length (>= 1000 bp)	8687	8692	8680	8692
Total length (>= 5000 bp)	8687	8692	8680	8692
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8687	8692	8680	8692
Total length	8687	8692	8680	8692
Reference length	8710	8710	8710	8710
GC (%)	40.65	40.67	40.68	40.66
Reference GC (%)	40.66	40.66	40.66	40.66
N50	8687	8692	8680	8692
NG50	8687	8692	8680	8692
N90	8687	8692	8680	8692
NG90	8687	8692	8680	8692
auN	8687.0	8692.0	8680.0	8692.0
auNG	8664.1	8674.0	8650.1	8674.0
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	16729	16735	16730	16735
# left	9500	9500	9500	9500
# right	9500	9500	9500	9500
Mapped (%)	107.23	107.21	107.24	107.21
Reference mapped (%)	107.16	107.16	107.16	107.16
Properly paired (%)	102.65	102.65	102.68	102.64
Reference properly paired (%)	102.58	102.58	102.58	102.58
Avg. coverage depth	514	514	514	514
Reference avg. coverage depth	514	514	514	514
Coverage >= 1x (%)	99.95	100.0	100.0	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	99.965	100.000	100.000	100.000
Duplication ratio	0.999	1.000	0.999	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	0.00	11.50	46.08	103.54
# indels per 100 kbp	80.62	57.52	80.65	57.52
Largest alignment	8683	8692	8680	8692
Total aligned length	8683	8692	8680	8692
NA50	8683	8692	8680	8692
NGA50	8683	8692	8680	8692
NA90	8683	8692	8680	8692
NGA90	8683	8692	8680	8692
auNA	8679.0	8692.0	8680.0	8692.0
auNGA	8656.1	8674.0	8650.1	8674.0
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
