Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8608	8605	8605	8614
Total length (>= 1000 bp)	8608	8605	8605	8614
Total length (>= 5000 bp)	8608	8605	8605	8614
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8608	8605	8605	8614
Total length	8608	8605	8605	8614
Reference length	8620	8620	8620	8620
GC (%)	40.30	40.37	40.44	40.35
Reference GC (%)	40.30	40.30	40.30	40.30
N50	8608	8605	8605	8614
NG50	8608	8605	8605	8614
N90	8608	8605	8605	8614
NG90	8608	8605	8605	8614
auN	8608.0	8605.0	8605.0	8614.0
auNG	8596.0	8590.0	8590.0	8608.0
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	94963	94927	109436	95045
# left	175000	175000	175000	175000
# right	175000	175000	175000	175000
Mapped (%)	366.8	366.94	292.11	366.47
Reference mapped (%)	366.32	366.32	366.32	366.32
Properly paired (%)	365.03	365.17	265.04	364.7
Reference properly paired (%)	364.55	364.55	364.55	364.55
Avg. coverage depth	10091	10090	9199	10090
Reference avg. coverage depth	10089	10089	10089	10089
Coverage >= 1x (%)	100.0	100.0	94.77	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	1	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	100.000	95.848	100.000
Duplication ratio	1.001	1.001	1.001	1.002
# N's per 100 kbp	0.00	0.00	6182.45	0.00
# mismatches per 100 kbp	23.23	325.39	860.81	383.10
# indels per 100 kbp	46.47	58.11	48.50	23.22
Largest alignment	8608	8605	8248	8614
Total aligned length	8608	8605	8248	8614
NA50	8608	8605	8248	8614
NGA50	8608	8605	8248	8614
NA90	8608	8605	8248	8614
NGA90	8608	8605	8248	8614
auNA	8608.0	8605.0	7905.8	8614.0
auNGA	8596.0	8590.0	7892.1	8608.0
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
